criterion,status,count
grammar_status,PASS,3150
grammar_status,FAIL,450
grammar_status,UNRESOLVED,0
grammar_status,NOT_APPLICABLE,0
intervention_contract_status,PASS,2250
intervention_contract_status,FAIL,1350
intervention_contract_status,UNRESOLVED,0
intervention_contract_status,NOT_APPLICABLE,0
polarity_contamination_status,PASS,2250
polarity_contamination_status,FAIL,1350
polarity_contamination_status,UNRESOLVED,0
polarity_contamination_status,NOT_APPLICABLE,0
schema_status,PASS,3600
schema_status,FAIL,0
schema_status,UNRESOLVED,0
schema_status,NOT_APPLICABLE,0
canonical_status,PASS,1950
canonical_status,FAIL,0
canonical_status,UNRESOLVED,1650
canonical_status,NOT_APPLICABLE,0
time_swap_status,PASS,3600
time_swap_status,FAIL,0
time_swap_status,UNRESOLVED,0
time_swap_status,NOT_APPLICABLE,0
dataset_source_status,PASS,3600
dataset_source_status,FAIL,0
dataset_source_status,UNRESOLVED,0
dataset_source_status,NOT_APPLICABLE,0
