threshold,system,final_accuracy,final_macro_f1,NOT_ENTITLED_f1,REFUTE_f1,SUPPORT_f1,entitled_output_count,entitled_output_gate_violation_rate,entitled_output_gate_violations,polarity_flip_output_ok,polarity_flip_internal_ok,polarity_flip_output_internal_gap,polarity_flip_output_ok_but_internal_bad,paraphrase_preserved,predicate_disentangled,polarity_flip_preserved_and_reversed,deletion_sufficiency_lower,truncation_sufficiency_lower,entity_frame_lower,event_frame_lower
0.3,conservative_balanced_router,0.9192307692307692,0.8804628693405235,0.9457364341085271,1.0,0.6956521739130435,73,0.0,0,0.85,0.85,0.0,0,0.9,0.85,0.85,1.0,1.0,1.0,1.0
0.3,conservative_strict_router,0.9076923076923077,0.8709494835149285,0.93717277486911,1.0,0.6756756756756757,78,0.0,0,0.9,0.9,0.0,0,0.85,0.85,0.9,1.0,1.0,1.0,1.0
0.3,dual_auditor_router,0.9192307692307692,0.8804628693405235,0.9457364341085271,1.0,0.6956521739130435,73,0.0,0,0.85,0.85,0.0,0,0.9,0.85,0.85,1.0,1.0,1.0,1.0
0.4,conservative_balanced_router,0.9192307692307692,0.8804628693405235,0.9457364341085271,1.0,0.6956521739130435,73,0.0,0,0.85,0.85,0.0,0,0.9,0.85,0.85,1.0,1.0,1.0,1.0
0.4,conservative_strict_router,0.9076923076923077,0.8709494835149285,0.93717277486911,1.0,0.6756756756756757,78,0.0,0,0.9,0.9,0.0,0,0.85,0.85,0.9,1.0,1.0,1.0,1.0
0.4,dual_auditor_router,0.9192307692307692,0.8804628693405235,0.9457364341085271,1.0,0.6956521739130435,73,0.0,0,0.85,0.85,0.0,0,0.9,0.85,0.85,1.0,1.0,1.0,1.0
0.5,conservative_balanced_router,0.9230769230769231,0.884778653729533,0.9484536082474226,1.0,0.7058823529411765,72,0.0,0,0.85,0.85,0.0,0,0.9,0.85,0.85,1.0,1.0,1.0,1.0
0.5,conservative_strict_router,0.9076923076923077,0.8688528303254331,0.9375,0.9841269841269841,0.684931506849315,76,0.0,0,0.9,0.9,0.0,0,0.85,0.85,0.9,1.0,1.0,1.0,1.0
0.5,dual_auditor_router,0.9192307692307692,0.8786749204108949,0.9460154241645244,0.9841269841269841,0.7058823529411765,71,0.0,0,0.85,0.85,0.0,0,0.9,0.85,0.85,1.0,1.0,1.0,1.0
0.6,conservative_balanced_router,0.9153846153846154,0.8700854700854701,0.9435897435897436,1.0,0.6666666666666666,70,0.0,0,0.8,0.8,0.0,0,0.9,0.8,0.8,1.0,1.0,1.0,1.0
0.6,conservative_strict_router,0.9,0.8459263470784207,0.9336734693877551,0.967741935483871,0.6363636363636364,68,0.0,0,0.8,0.8,0.0,0,0.95,0.8,0.8,1.0,1.0,1.0,1.0
0.6,dual_auditor_router,0.9038461538461539,0.8500941833618514,0.9363867684478372,0.967741935483871,0.6461538461538462,67,0.0,0,0.8,0.8,0.0,0,0.95,0.8,0.8,1.0,1.0,1.0,1.0
0.7,conservative_balanced_router,0.9115384615384615,0.8639900404606286,0.9411764705882353,0.9841269841269841,0.6666666666666666,69,0.0,0,0.8,0.8,0.0,0,0.9,0.8,0.8,1.0,1.0,1.0,1.0
0.7,conservative_strict_router,0.9,0.8422506959227117,0.934010152284264,0.967741935483871,0.625,66,0.0,0,0.8,0.8,0.0,0,1.0,0.8,0.8,1.0,1.0,1.0,1.0
0.7,dual_auditor_router,0.9038461538461539,0.8464571437213332,0.9367088607594937,0.967741935483871,0.6349206349206349,65,0.0,0,0.8,0.8,0.0,0,1.0,0.8,0.8,1.0,1.0,1.0,1.0
